Name,Points,Year,Position,Number,School,REC,YDS,TDS
Treyton Travis,0.0,SR,WR/CB,#24,Baxter,0.0,0.0,0.0
Kace Patton,0.0,SR,WR/CB,#10,Murray,0.0,0.0,0.0
Wyatt Ragaller,0.0,SO,RB/DB,#8,Ar-We-Va,0.0,0.0,0.0
Landon Blum,31.6,FR,WR/DB,#5,Woodbine,4.0,96.0,3.0
Dominic Coleman,47.8,SR,WR/DE,#23,BGM,14.0,218.0,2.0
Nolan Birdsall,78.0,JR,RB/LB,#2,West Harrison/Whiting Hawkeyes,28.0,320.0,3.0
Michael Hensley,23.2,JR,RB/LB,#6,Sidney,5.0,122.0,1.0
Evan Lorenzen,5.0,JR,RB/DB,#22,Northwood-Kensett,2.0,30.0,0.0
Jackson Embree,0.0,JR,SL/LB,#33,East Mills,0.0,0.0,0.0
Aiden Eickert ,0.0,SO,WR/LB,#7,Easton Valley,0.0,0.0,0.0
Cade Robinson,0.0,JR,WR/CB,#12,Baxter,0.0,0.0,0.0
Garrett Watts,0.0,SR,WR/DB,#7,Montezuma,0.0,0.0,0.0
Callan Messerich,0.0,SO,WR/DB,#6,Easton Valley,0.0,0.0,0.0
Josef Dvorak,11.9,JR,RB/DB,#25,Collins-Maxwell,6.0,59.0,0.0
Dakota Heishman,5.5,JR,WR/DB,#8,BGM,3.0,25.0,0.0
Mason Maschmann,5.5,SR,RB/LB,#11,BGM,4.0,15.0,0.0
Jabari Woodbury,0.0,SR,,#2,GMG,0.0,0.0,0.0
Triton Gwinn,0.0,SR,RB/LB,#22,Mormon Trail,0.0,0.0,0.0
Wyatt Throckmorton,2.4,SR,WR/LB,#23,Moravia,1.0,14.0,0.0
Jamison Martin,69.8,JR,RB/DB,#11,West Harrison/Whiting Hawkeyes,21.0,308.0,3.0
Carter Seitz,0.0,JR,WR/DB,#7,Kee,0.0,0.0,0.0
Cal Heydon,0.0,SO,QB/DB,#11,Coon Rapids-Bayard,0.0,0.0,0.0
Jackson McDanel,10.0,SR,RB/LB,#30,Moravia,1.0,30.0,1.0
Lucas Frohwein,22.7,SR,TE/DE,#9,Colo-Nesco,4.0,67.0,2.0
Devin Meyer,0.0,SR,TE/LB,#15,Harris-Lake Park,0.0,0.0,0.0
Braxton Bormann,0.0,SO,RB/LB,#21,Central Elkader,0.0,0.0,0.0
Dalton Weepie,0.0,JR,TE/LB,#33,Dunkerton,0.0,0.0,0.0
Declan DeJong,17.5,SO,TE/DE,#41,Moravia,2.0,95.0,1.0
Brayden Hepke,10.2,SR,WR/DB,#17,BGM,6.0,42.0,0.0
Isaac Murphy,0.0,SR,RB/S,#1,GTRA,0.0,0.0,0.0
Caleb Hemphill,0.0,SR,RB/LB,#3,Harris-Lake Park,0.0,0.0,0.0
Cainan Travis,0.0,JR,WR/LB,#20,Baxter,0.0,0.0,0.0
Jed Bielenberg,0.0,SR,DE/WR,#15,Siouxland Christian,0.0,0.0,0.0
Cruz DeJong,0.0,SR,TE/LB,#40,Montezuma,0.0,0.0,0.0
Brogan Ewing,2.3,JR,WR/CB,#10,Southeast Warren,1.0,13.0,0.0
Cam Buffington,0.0,SR,QB/LB,#33,Winfield-Mt Union,0.0,0.0,0.0
Caleb Haack,0.0,JR,WR/DB,#7,Iowa Valley,0.0,0.0,0.0
Collin Bower,18.4,SO,TE/DB,#25,CAM,8.0,44.0,1.0
Kaleb Gill,0.0,SR,,#1,GMG,0.0,0.0,0.0
Rider Kupka,0.0,SO,,#21,GMG,0.0,0.0,0.0
Kolt Payne,7.7,JR,SL/CB,#24,Sidney,3.0,47.0,0.0
Micah Moores,44.6,FR,RB/LB,#9,Woodbine,7.0,196.0,3.0
Kaden Kobliska,18.8,SR,WR,#8,Riceville,5.0,78.0,1.0
Rason Grail,0.0,SR,WR/DB,#23,East Union,0.0,0.0,0.0
Jack Gordon,0.0,SR,WR/DL,#18,East Mills,0.0,0.0,0.0
Colby Eskildsen,9.5,JR,TE/DL,#12,Northwood-Kensett,2.0,15.0,1.0
Hayden Loftsgard,0.0,JR,WR/CB,#2,Tripoli,0.0,0.0,0.0
Reed Oswalt,5.6,SO,WR/DB,#24,Collins-Maxwell,4.0,16.0,0.0
Hudson Clark,0.0,SO,WR/DB,#3,Gladbrook-Reinbeck,0.0,0.0,0.0
Colton Leichty,0.0,SR,TE/LB,#23,WACO,0.0,0.0,0.0
Grant Galles,0.0,SO,WR/DB,#6,St. Edmond,0.0,0.0,0.0
Tate Martin,22.5,JR,RB/LB,#33,BGM,5.0,55.0,2.0
Seth Bixler,0.0,SR,WR/S,#1,Midland,0.0,0.0,0.0
Matt Sauer,0.0,SR,TE/DE,#82,Midland,0.0,0.0,0.0
Bram Bielenberg,0.0,FR,RB/LB,#35,Siouxland Christian,0.0,0.0,0.0
Alex Tiedemann,0.8,SO,QB/DB,#34,Northwood-Kensett,1.0,-2.0,0.0
Louden Huisenga,0.0,JR,RB/LB,#8,WACO,0.0,0.0,0.0
Brenner Sullivan,9.7,SO,RB/LB,#22,Woodbine,4.0,57.0,0.0
Wade Ragaller,0.0,JR,RB/LB,#28,Ar-We-Va,0.0,0.0,0.0
Simon Showalter,0.9,JR,RB/LB,#6,Stanton/Essex Vikings,1.0,-1.0,0.0
Chase Klatt,0.0,SO,TE/CB,#4,Calamus-Wheatland,0.0,0.0,0.0
Kolby Culbertson,0.0,SR,TE/DB,#2,Coon Rapids-Bayard,0.0,0.0,0.0
Jack Follmann,2.2,SR,TE/LB,#40,CAM,1.0,12.0,0.0
Alex Hansen,0.0,JR,RB/LB,#22,Exira-EHK,0.0,0.0,0.0
Brenden Connett,0.0,SR,RB/LB,#20,Twin Cedars,0.0,0.0,0.0
Jacob Martin,2.3,JR,RB/LB,#3,Stanton/Essex Vikings,1.0,13.0,0.0
