Name,Points,Year,Position,Number,School,REC,YDS,TDS
Cale Westerbeck,22.0,SO,WR/DB,#4,New London,4.0,60.0,2.0
Austin Christensen,9.3,SO,WR/LB,#81,Audubon,2.0,13.0,1.0
Holden Roberts,0.0,SO,TE/DE,#13,Twin Cedars,0.0,0.0,0.0
Anthony Eisele,8.4,SR,OL/DL,#55,North Iowa,1.0,14.0,1.0
Colton Leichty,0.0,SR,TE/LB,#23,WACO,0.0,0.0,0.0
Brenner Sullivan,2.0,SO,RB/LB,#22,Woodbine,1.0,10.0,0.0
Leo Ehn,1.3,SR,TE/LB,#80,St. Edmond,1.0,3.0,0.0
Landon Wittrock,15.7,JR,SL/LB,#9,Harris-Lake Park,4.0,57.0,1.0
Braedon Godfread,2.6,JR,TE/S,#10,Sidney,1.0,16.0,0.0
Austin Lack,8.8,SR,WR/DB,#3,East Union,4.0,48.0,0.0
Emmett Burke,0.0,SO,WR/DB,#10,Lone Tree,0.0,0.0,0.0
Cristian Brown,10.0,SR,WR/DB,#47,Dunkerton,2.0,20.0,1.0
Nolan Cushion,9.6,SR,TE/DE,#22,West Central,3.0,66.0,0.0
Broox Stockman,0.0,SO,RB/LB,#20,Montezuma,0.0,0.0,0.0
Andrew Beran,11.8,JR,RB,#2,Riceville,4.0,78.0,0.0
Logan Franklin,21.2,SO,WR/DB,#7,New London,5.0,102.0,1.0
Michael Raines,19.4,SR,TE/LB,#26,New London,6.0,74.0,1.0
Aiden Klostermann,2.1,SR,RB/S,#10,Central City,1.0,11.0,0.0
Seth Bixler,1.7,SR,WR/S,#1,Midland,1.0,7.0,0.0
Dylan Linkenhoker,0.0,SR,,#21,Fremont-Mills,0.0,0.0,0.0
Brenden Connett,0.0,SR,RB/LB,#20,Twin Cedars,0.0,0.0,0.0
Zane Johnson,0.0,JR,RB/LB,#7,Griswold,0.0,0.0,0.0
Luke Cripps,0.0,SR,QB/S,#1,Boyer Valley,0.0,0.0,0.0
Charlie Schaefer,4.5,SR,QB/S,#6,North Iowa,2.0,25.0,0.0
Braden Simington,9.9,SR,S/WR,#2,GTRA,1.0,29.0,1.0
Collin Homan,0.0,JR,OL/DL,#55,Remsen St. Mary's,0.0,0.0,0.0
Mason Hoy,0.0,SO,RB/CB,#9,Springville,0.0,0.0,0.0
Kelan Stevenson,4.5,SO,TE/LB,#62,Lamoni,2.0,25.0,0.0
James Buhlman,1.6,FR,RB/LB,#27,Easton Valley,1.0,6.0,0.0
Talan Driscoll,0.0,FR,RB/LB,#8,Easton Valley,0.0,0.0,0.0
Drew Wagner,1.5,SR,TE/DL,#98,Waterloo Christian,1.0,5.0,0.0
Alex Hansen,0.0,JR,RB/LB,#22,Exira-EHK,0.0,0.0,0.0
Stadan Vansice,18.0,SO,WR/LB,#5,Baxter,5.0,70.0,1.0
Jacob Martin,2.8,JR,RB/LB,#3,Stanton/Essex,2.0,8.0,0.0
Oliver Schmitt,1.0,SR,FB,#22,Turkey Valley,1.0,0.0,0.0
Johnathan Riesselman,5.4,SO,WR/DB,#7,Ar-We-Va,3.0,24.0,0.0
Justin Bauer,1.9,SR,WR/CB,#12,Bishop Garrigan,1.0,9.0,0.0
Tyler Ballard,2.2,SR,TE/DE,#22,HLV,1.0,12.0,0.0
Mason Steinhoff,5.4,SO,RB/LB,#11,Griswold,2.0,34.0,0.0
Louden Huisenga,0.0,JR,RB/LB,#8,WACO,0.0,0.0,0.0
McKoy Nuss,0.0,SO,QB/LB,#13,Tripoli,0.0,0.0,0.0
Abram Edwards,3.9,SR,TE/DE,#84,Winfield-Mt Union,2.0,19.0,0.0
Sam Plathe,0.0,SR,WR/CB,#24,Bishop Garrigan,0.0,0.0,0.0
Gavin DeFord,0.0,JR,RB/LB,#44,Waterloo Christian,0.0,0.0,0.0
Kael Cress,0.0,JR,WR/S,#7,Midland,0.0,0.0,0.0
Sam DeMeulenaere,0.0,JR,E/LB,#12,Belle Plaine,0.0,0.0,0.0
Mitch Stevens,3.7,SR,TE/LB,#37,West Bend-Mallard,1.0,27.0,0.0
Keyden Lown,2.0,JR,TE/DE,#84,English Valleys,1.0,10.0,0.0
Gio Cruz,2.6,SR,RB/DB,#5,Lenox,1.0,16.0,0.0
Braxton Blackburn,5.4,SR,,#10,Fremont-Mills,2.0,34.0,0.0
JW Linkenhoker,1.2,SO,,#11,Fremont-Mills,1.0,2.0,0.0
Lucas Madison,2.4,SR,,#5,Fremont-Mills,1.0,14.0,0.0
Simon Showalter,0.0,JR,RB/LB,#6,Stanton/Essex,0.0,0.0,0.0
Austin Boege,0.0,SO,RB/LB,#22,Collins-Maxwell,0.0,0.0,0.0
Sheldon Vandenberg,12.5,JR,OG/LB,#12,East Mills,4.0,25.0,1.0
J.D. Kruse,1.0,SO,RB/DE,#2,Turkey Valley,1.0,0.0,0.0
Jack Scherf,1.9,JR,WR/DB,#23,Central Elkader,1.0,9.0,0.0
Trey Fisher,0.0,JR,RB/LB,#89,Southeast Warren,0.0,0.0,0.0
Collin Hoffman,3.7,SR,QB/S,#14,GTRA,1.0,27.0,0.0
Braxton Kniep,0.0,JR,WR/DE,#18,Remsen St. Mary's,0.0,0.0,0.0
Carter Loyd,11.5,SR,RB/S,#2,Winfield-Mt Union,2.0,35.0,1.0
Ty Christensen,0.0,SO,,#5,Don Bosco,0.0,0.0,0.0
Jakob Koopman,3.2,SO,SL/LB,#8,St. Edmond,2.0,12.0,0.0
Conlin Rouse,7.5,SO,RB/LB,#11,Springville,1.0,5.0,1.0
Evan Alt,0.0,SR,RB/LB,#4,Audubon,0.0,0.0,0.0
Edward Miller,0.0,SR,TE/DE,#31,Audubon,0.0,0.0,0.0
Clay Westphal,0.0,SO,SL/S,#8,West Harrison/Whiting,0.0,0.0,0.0
Jordan Cota,0.0,JR,TE/DE,#81,Kee,0.0,0.0,0.0
Coen Good,2.2,SR,WR/CB,#2,English Valleys,1.0,12.0,0.0
Logan French,2.8,SR,WR/DB,#1,Stanton/Essex,1.0,18.0,0.0
Caleb Kurtenbach,12.8,SR,QB,#5,Turkey Valley,2.0,48.0,1.0
Luke Erselius,1.3,SO,WR/DB,#15,Montezuma,1.0,3.0,0.0
Brekken Schlader,0.0,SO,TE/LB,#14,Rockford,0.0,0.0,0.0
Trenton Struss,0.0,SR,RB/S,#21,Newell-Fonda,0.0,0.0,0.0
Ben Belew,0.0,JR,,#3,Don Bosco,0.0,0.0,0.0
Ian Smith,3.0,JR,TE/LB,#5,Iowa Valley,1.0,20.0,0.0
Will Felper,8.6,SR,SL,#18,Riceville,3.0,56.0,0.0
Bennett Steger,0.0,SR,WR,#14,Edgewood-Colesburg,0.0,0.0,0.0
Logan Grimm,19.0,SR,RB/LB,#34,West Bend-Mallard,3.0,40.0,2.0
Kaleb Drape,10.4,SR,WR/LB,#6,Kee,2.0,24.0,1.0
Donald Bashor,0.0,SR,RB/LB,#44,Lenox,0.0,0.0,0.0
Cody Dorscher,0.0,JR,WR/CB,#24,Griswold,0.0,0.0,0.0
Levi Reineke,2.4,SO,LB/RB,#29,Boyer Valley,1.0,14.0,0.0
Emmett Snyder,0.0,SR,RB/S,#29,Glidden-Ralston,0.0,0.0,0.0
Trent Robertson,10.7,SR,WR/LB,#5,North Iowa,1.0,37.0,1.0
Christian Reinke,0.0,JR,TE/LB,#25,Rockford,0.0,0.0,0.0
Dawson Smith,0.0,SR,RB/LB,#20,Iowa Valley,0.0,0.0,0.0
Brody Paulsen,2.6,SR,RB/DB,#2,CAM,2.0,6.0,0.0
Landon Lindgren,0.0,SO,RB/DB,#11,Lamoni,0.0,0.0,0.0
Justin Weispfenning,0.0,JR,RB/DB,#3,Easton Valley,0.0,0.0,0.0
Wyatt Christiansen,0.0,SO,RB/LB,#10,Midland,0.0,0.0,0.0
Bryce Brabham,0.0,SO,RB/DB,#9,Exira-EHK,0.0,0.0,0.0
Samuel Dascher,0.0,SO,TE/CB,#31,Calamus-Wheatland,0.0,0.0,0.0
Layne Mastin,0.0,SR,OG/DE,#11,East Mills,0.0,0.0,0.0
Burke Busta,2.2,SR,FB,#9,Turkey Valley,1.0,12.0,0.0
Maddox Jondle,0.0,JR,QB/LB,#11,Lone Tree,0.0,0.0,0.0
Mark Lensch,2.0,SR,TE/LB,#33,Glidden-Ralston,1.0,10.0,0.0
Brett Plants,0.0,JR,RB/LB,#22,Montezuma,0.0,0.0,0.0
David Rose,0.0,JR,WR/DB,#5,Montezuma,0.0,0.0,0.0
Carter Anderson,12.5,JR,QB/DB,#15,Northwood-Kensett,3.0,35.0,1.0
Kolton Robinson,0.0,SO,RB/DB,#23,Northwood-Kensett,0.0,0.0,0.0
Caleb Swedin,2.1,SO,RB/LB,#7,GTRA,2.0,1.0,0.0
Jacob Morey,0.0,SR,OL/DL,#11,Tripoli,0.0,0.0,0.0
Cole Milks,0.0,SR,RB/S,#11,Winfield-Mt Union,0.0,0.0,0.0
Dillon Reed,0.0,SO,WR/DB,#11,Woodbine,0.0,0.0,0.0
Cal Pryor,0.1,FR,QB/DB,#12,Woodbine,0.0,1.0,0.0
Klay Baker,0.0,JR,RB/LB,#17,St. Edmond,0.0,0.0,0.0
Christopher Lange,0.0,SO,WR,#10,Edgewood-Colesburg,0.0,0.0,0.0
Cole Bethune,0.0,JR,WR/S,#4,West Harrison/Whiting,0.0,0.0,0.0
Carter Sholtus,0.0,SR,WR/CB,#2,HLV,0.0,0.0,0.0
Ayden Lamb,5.9,FR,TE/LB,#18,Murray,1.0,49.0,0.0
Cody Samson,0.0,SR,TE/LB,#36,Baxter,0.0,0.0,0.0
Peyton Cook,0.0,JR,QB/CB,#2,Griswold,0.0,0.0,0.0
Tyler Rodgers,2.5,JR,WR/CB,#17,Mormon Trail,2.0,5.0,0.0
Jiri Brodigan,5.5,SO,WR/LB,#32,East Mills,2.0,35.0,0.0
Owen Garside,0.0,JR,S/QB,#3,Boyer Valley,0.0,0.0,0.0
Evan Ten Eyck,0.0,SR,TE,#2,Boyer Valley,0.0,0.0,0.0
Alex Daniel,0.0,SO,RB/LB,#27,Glidden-Ralston,0.0,0.0,0.0
Carson Frerichs,2.5,SR,RB/LB,#28,North Iowa,1.0,15.0,0.0
Gavyn Thordarson,0.0,SO,RB/DE,#8,Melcher-Dallas,0.0,0.0,0.0
Gage Samo,0.0,JR,WR/CB,#5,WACO,0.0,0.0,0.0
Jacksyn Hogrefe,0.0,SO,RB/DB,#26,Newell-Fonda,0.0,0.0,0.0
Tyler Bruns,0.0,JR,OL/DL,#43,Tripoli,0.0,0.0,0.0
Cal Peterman,2.9,JR,WR/LB,#15,Bedford,1.0,19.0,0.0
Brodie Ludwig,1.6,JR,RB/LB,#21,Woodbine,1.0,6.0,0.0
Aidan Ebert,0.0,JR,WR,#3,Riceville,0.0,0.0,0.0
Kinnick Henning,1.2,SO,RB/LB,#22,St. Edmond,1.0,2.0,0.0
Gabe Meaney,5.8,JR,TE/DE,#16,Janesville,2.0,38.0,0.0
Caden Cole,13.5,SR,TE,#20,Edgewood-Colesburg,1.0,65.0,1.0
Benjy Trainer,1.8,SR,TE/LB,#4,Bishop Garrigan,1.0,8.0,0.0
Creyton Ogier,1.7,SR,TE/DE,#5,Lamoni,1.0,7.0,0.0
Jordan Boehde,0.0,FR,RB/DB,#13,Easton Valley,0.0,0.0,0.0
Aiden Stenzel,0.0,SO,RB/DB,#20,Sidney,0.0,0.0,0.0
Eli Weimer,0.0,JR,WR/DB,#18,Waterloo Christian,0.0,0.0,0.0
Mekhi Benton,22.6,SR,TE/DE,#34,Central City,3.0,76.0,2.0
Riley Simmons,0.0,SR,E/DE,#85,Belle Plaine,0.0,0.0,0.0
Andrew Kolsrud,2.6,SR,WR/CB,#16,Kee,1.0,16.0,0.0
Tanner Troendle,13.5,FR,RB/DB,#23,Kee,3.0,45.0,1.0
Nolan Gannon,0.0,FR,RB/LB,#34,Murray,0.0,0.0,0.0
Jordan Martin-England,0.0,JR,RB/LB,#18,Lenox,0.0,0.0,0.0
Judson Beary,0.0,JR,RB/LB,#6,Twin Cedars,0.0,0.0,0.0
Auden Wilson,0.0,JR,WR/CB,#10,Griswold,0.0,0.0,0.0
Levi Evans,0.0,SO,TE/DE,#20,Mormon Trail,0.0,0.0,0.0
Jacob Berens,0.0,SR,RB/LB,#34,Boyer Valley,0.0,0.0,0.0
Grant Finck,4.2,JR,RB/LB,#10,Dunkerton,2.0,22.0,0.0
Jackson Stansberry,0.0,SO,WR/DB,#22,Siouxland Christian,0.0,0.0,0.0
Alex Black,4.0,SR,WR/DB,#30,Montezuma,1.0,30.0,0.0
Isaac Rich,0.0,JR,CB/WR,#10,WACO,0.0,0.0,0.0
Guyson Lyman,0.0,JR,TE/DE,#40,Newell-Fonda,0.0,0.0,0.0
Landen Dietrich,0.0,FR,RB/LB,#27,GTRA,0.0,0.0,0.0
Kyle Boeckmann,0.0,JR,RB/LB,#8,Tripoli,0.0,0.0,0.0
Dominic McClain,0.0,JR,WR/DB,#7,St. Edmond,0.0,0.0,0.0
Sam Myer,3.0,JR,LB/RB,#33,St. Edmond,2.0,10.0,0.0
Owen Murphy,0.0,JR,WR/S,#10,Bishop Garrigan,0.0,0.0,0.0
Terrian Islas,9.9,JR,TE/DE,#5,East Union,2.0,19.0,1.0
Fischer Buffington,1.6,JR,RB/DE,#12,East Union,1.0,6.0,0.0
Wade Sankot,0.0,SO,RB/LB,#3,Belle Plaine,0.0,0.0,0.0
Cole Fehr,5.3,JR,RB/LB,#33,West Bend-Mallard,1.0,43.0,0.0
Cannon Hansen,0.0,JR,TE/DL,#33,Exira-EHK,0.0,0.0,0.0
Kendrick Mastin,0.0,SR,RB/LB,#9,Murray,0.0,0.0,0.0
Nate Curry,0.0,SR,RB/LB,#38,Twin Cedars,0.0,0.0,0.0
Brock Micetich,0.0,FR,RB/LB,#36,Twin Cedars,0.0,0.0,0.0
Gavin Ford,0.0,JR,QB/LB,#12,Stanton/Essex,0.0,0.0,0.0
Austin Vaverka,0.0,SR,RB/LB,#5,Gladbrook-Reinbeck,0.0,0.0,0.0
Treyvon Herron,0.0,FR,WR/DB,#9,Gladbrook-Reinbeck,0.0,0.0,0.0
Sam Hoodjer,0.0,JR,WR/CB,#80,Clarksville,0.0,0.0,0.0
Kyle Reinhart,1.7,JR,WR/DB,#40,Central Elkader,2.0,-3.0,0.0
Jader Sanchez,8.8,SR,RB/DB,#4,Lone Tree,1.0,18.0,1.0
Ledger Dalton,0.0,SO,WR/DB,#5,Dunkerton,0.0,0.0,0.0
Ryan Heaton,0.0,JR,FB/DE,#43,Melcher-Dallas,0.0,0.0,0.0
Payton Malchow,0.0,JR,WR/CB,#28,Rockford,0.0,0.0,0.0
Landen Nelson,0.0,FR,WR/DB,#36,Northwood-Kensett,0.0,0.0,0.0
Jesse Myhr,3.6,JR,FB/DE,#8,Moravia,1.0,26.0,0.0
Hunter Hughes,0.0,SR,CB/WR,#3,WACO,0.0,0.0,0.0
Lucas Dirkx,2.4,SO,TE/DE,#40,Southeast Warren,2.0,4.0,0.0
Lucas Daggett,0.0,JR,TE/LB,#35,Colo-Nesco,0.0,0.0,0.0
Landon Gjerde,0.0,SO,RB/LB,#1,Colo-Nesco,0.0,0.0,0.0
Tristan Freiberg,0.0,SR,WR/CB,#1,Tripoli,0.0,0.0,0.0
Kyler Knaack,0.0,JR,,#20,Don Bosco,0.0,0.0,0.0
Ryan Bower,0.0,SR,WR/S,#8,CAM,0.0,0.0,0.0
Austin Williams,0.0,SR,RB/LB,#20,CAM,0.0,0.0,0.0
Jace March,0.0,FR,RB/CB,#3,Springville,0.0,0.0,0.0
Brigham Porter,0.0,SO,SL/DB,#23,New London,0.0,0.0,0.0
Mason McIntosh,0.0,SR,QB/LB,#16,West Harrison/Whiting,0.0,0.0,0.0
Andreas Buttry,0.0,JR,QB/CB,#5,Sidney,0.0,0.0,0.0
Seth Hudson,0.0,SR,QB/S,#7,East Union,0.0,0.0,0.0
Max Henstorf,0.0,SR,QB/LB,#7,HLV,0.0,0.0,0.0
Sean McCulloch,0.0,FR,QB/DB,#24,HLV,0.0,0.0,0.0
Ty Alcott,0.0,JR,RB/DB,#24,Belle Plaine,0.0,0.0,0.0
Quintin White,0.0,SR,WR/DB,#3,Exira-EHK,0.0,0.0,0.0
Eric Wilson,0.9,SR,WR/DB,#15,Exira-EHK,1.0,-1.0,0.0
Dalton Kitzman,2.2,SR,RB/LB,#4,Lenox,1.0,12.0,0.0
Holden Jensen,0.0,JR,WR/CB,#33,Griswold,0.0,0.0,0.0
Derek Bartlett,1.4,SR,LB/RB,#4,Stanton/Essex,1.0,4.0,0.0
Johnny Resh,0.0,SR,TE/DL,#20,Stanton/Essex,0.0,0.0,0.0
Luke Rohling,0.0,SR,FB/LB,#16,Calamus-Wheatland,0.0,0.0,0.0
Brayden Svejda,0.0,JR,QB/CB,#1,Calamus-Wheatland,0.0,0.0,0.0
Caleb Urban,0.0,JR,WR/CB,#3,East Mills,0.0,0.0,0.0
Cooper Petersen,1.8,JR,DE/OG,#33,Boyer Valley,1.0,8.0,0.0
John Stauffer,0.0,JR,TE/LB,#82,Clarksville,0.0,0.0,0.0
Preston Kulper,0.0,SO,WR/DB,#2,Central Elkader,0.0,0.0,0.0
Logan Sharpe,0.0,JR,RB/LB,#28,Central Elkader,0.0,0.0,0.0
Braden Taylor,0.0,SO,OL/DL,#60,Central Elkader,0.0,0.0,0.0
Ty Lindquist,0.0,JR,FB/LB,#18,Dunkerton,0.0,0.0,0.0
Colin Snyder,0.0,SO,RB/LB,#24,Dunkerton,0.0,0.0,0.0
Adam Scott,0.0,SR,RB/LB,#26,West Central,0.0,0.0,0.0
Waylon Hein,0.0,JR,TE/LB,#23,Glidden-Ralston,0.0,0.0,0.0
Kael Caikoski,0.0,SR,RB/LB,#22,Melcher-Dallas,0.0,0.0,0.0
Ryker Hoffman,0.0,JR,WR/CB,#2,Rockford,0.0,0.0,0.0
Ty Tauber,0.0,SR,OT/LB,#25,Newell-Fonda,0.0,0.0,0.0
Braden Jordan,0.0,SO,QB/LB,#10,Springville,0.0,0.0,0.0
Ezekiel Konkler,0.0,SR,WR/CB,#20,Audubon,0.0,0.0,0.0
Carson Hopkins,0.0,FR,TE/LB,#45,West Harrison/Whiting,0.0,0.0,0.0
Tate Mount,16.2,SO,QB/DB,#2,Sidney,3.0,72.0,1.0
Gavin Benter,0.0,SO,TE/DL,#99,Waterloo Christian,0.0,0.0,0.0
Chris Hanson,2.2,FR,FB/LB,#32,Central City,1.0,12.0,0.0
Sawyer House,1.6,SR,WR/CB,#4,Midland,1.0,6.0,0.0
Lane Vokoun,0.0,JR,RB/DB,#35,Belle Plaine,0.0,0.0,0.0
Aidan Yoch,8.1,SR,TE/DB,#14,West Bend-Mallard,1.0,11.0,1.0
Drake Axmear,0.0,JR,WR/CB,#4,English Valleys,0.0,0.0,0.0
Ben Coffman,0.0,JR,RB/LB,#9,English Valleys,0.0,0.0,0.0
Wyatt Silk,0.0,SO,WR/CB,#15,Griswold,0.0,0.0,0.0
Cole Green,0.0,FR,TE/DE,#34,Calamus-Wheatland,0.0,0.0,0.0
Kellen Whitman,0.0,FR,FB/LB,#32,Calamus-Wheatland,0.0,0.0,0.0
Trey Rosenbeck,0.0,SR,TE/LB,#3,Coon Rapids-Bayard,0.0,0.0,0.0
Austin Gehring,0.0,SR,WR/DB,#4,Gladbrook-Reinbeck,0.0,0.0,0.0
Noah Fuelling,0.0,JR,WR/DB,#12,Dunkerton,0.0,0.0,0.0
Trenton Rodas,0.0,JR,TE/DE,#14,West Central,0.0,0.0,0.0
Braydon Draeger,0.0,SR,TE/LB,#88,Melcher-Dallas,0.0,0.0,0.0
CJ Smith,0.0,SO,TE/DB,#44,Melcher-Dallas,0.0,0.0,0.0
Carter Michalek,0.0,JR,WR/DB,#2,Montezuma,0.0,0.0,0.0
Dane Strong,0.0,FR,RB/LB,#33,Montezuma,0.0,0.0,0.0
Loghan Nelson,10.9,JR,OL/LB,#50,Northwood-Kensett,2.0,29.0,1.0
Jackson Bellcock,0.0,FR,FB/LB,#20,Newell-Fonda,0.0,0.0,0.0
Jamison Ewing,0.0,SO,WR/CB,#8,Southeast Warren,0.0,0.0,0.0
Brenden Wheeler,2.2,JR,RB/LB,#17,Southeast Warren,2.0,2.0,0.0
Brady Wurth,0.0,JR,LB/WR,#11,Remsen St. Mary's,0.0,0.0,0.0
Logan Heim,0.0,SO,WR/CB,#7,Tripoli,0.0,0.0,0.0
Ethan Schaufenbuel,0.0,SO,WR/CB,#20,Tripoli,0.0,0.0,0.0
Garrison Motsinger,0.0,JR,RB/S,#4,Bedford,0.0,0.0,0.0
Silas Walston,0.0,SR,RB/DE,#33,Bedford,0.0,0.0,0.0
David Schmitz,0.0,JR,,#4,Don Bosco,0.0,0.0,0.0
Owen Bral,0.0,JR,QB/LB,#3,Iowa Valley,0.0,0.0,0.0
Brayden Chester,0.0,JR,RB/LB,#34,CAM,0.0,0.0,0.0
Johnny Adams,0.0,JR,WR,#10,Riceville,0.0,0.0,0.0
Dawson Graham,0.0,JR,RB/LB,#8,Janesville,0.0,0.0,0.0
