Name,Points,Year,Position,Number,School,REC,YDS,TDS
Kace Patton,26.65,SR,WR/CB,#10,Murray,9.0,116.5,1.0
Treyton Travis,61.6,SR,WR/CB,#24,Baxter,13.0,246.0,4.0
Evan Lorenzen,18.9,JR,RB/DB,#22,Northwood-Kensett,11.0,79.0,0.0
Wyatt Ragaller,28.7,SO,RB/DB,#8,Ar-We-Va,11.0,117.0,1.0
Landon Blum,31.3,FR,WR/DB,#5,Woodbine,10.0,153.0,1.0
Holden Roberts,10.0,SO,TE/DE,#13,Twin Cedars,4.5,55.0,0.0
Jackson McDanel,17.95,SR,RB/LB,#30,Moravia,4.5,74.5,1.0
Brenden Connett,12.3,SR,RB/LB,#20,Twin Cedars,4.0,53.0,0.5
Jackson Embree,23.9,JR,SL/LB,#33,East Mills,8.0,99.0,1.0
Wyatt Throckmorton,15.6,SR,WR/LB,#23,Moravia,4.0,56.0,1.0
Dakota Heishman,7.2,JR,WR/DB,#8,BGM,4.0,32.0,0.0
Evan Ten Eyck,21.1,SR,TE,#2,Boyer Valley,3.5,56.0,2.0
Declan DeJong,17.0,SO,TE/DE,#41,Moravia,3.5,45.0,1.5
Dominic Coleman,19.8,SR,WR/DE,#23,BGM,3.5,73.0,1.5
Tyler Ballard,8.6,SR,TE/DE,#22,HLV,3.0,56.0,0.0
Cal Heydon,38.4,SO,QB/DB,#11,Coon Rapids-Bayard,6.0,144.0,3.0
Devon Ehlers,8.0,SO,TE/LB,#88,Ar-We-Va,6.0,20.0,0.0
Mason Maschmann,13.05,SR,RB/LB,#11,BGM,3.0,70.5,0.5
Caleb Hemphill,17.9,SR,RB/LB,#3,Harris-Lake Park,6.0,59.0,1.0
Devin Meyer,10.1,SR,TE/LB,#15,Harris-Lake Park,6.0,41.0,0.0
Keyden Lown,14.65,JR,TE/DE,#84,English Valleys,2.5,31.5,1.5
Gio Cruz,15.8,SR,RB/DB,#5,Lenox,5.0,48.0,1.0
Josef Dvorak,26.9,JR,RB/DB,#25,Collins-Maxwell,5.0,99.0,2.0
Jack Gordon,16.4,SR,WR/DL,#18,East Mills,5.0,54.0,1.0
Owen Hammersland,14.1,FR,RB/LB,#24,Central Elkader,5.0,31.0,1.0
Dalton Weepie,20.0,JR,TE/LB,#33,Dunkerton,5.0,90.0,1.0
Jed Bielenberg,15.7,SR,DE/WR,#15,Siouxland Christian,5.0,107.0,0.0
Cruz DeJong,8.45,SR,TE/LB,#40,Montezuma,2.5,29.5,0.5
David Rose,4.5,JR,WR/DB,#5,Montezuma,2.5,20.0,0.0
Garrett Watts,17.25,SR,WR/DB,#7,Montezuma,2.5,57.5,1.5
Louden Huisenga,15.5,JR,RB/LB,#8,WACO,5.0,45.0,1.0
Colton Leichty,16.1,SR,TE/LB,#23,WACO,5.0,51.0,1.0
Brogan Ewing,8.0,JR,WR/CB,#10,Southeast Warren,5.0,30.0,0.0
Caleb Haack,12.55,JR,WR/DB,#7,Iowa Valley,2.5,70.5,0.5
Wade Ragaller,15.6,JR,RB/LB,#28,Ar-We-Va,5.0,46.0,1.0
Tate Martin,11.35,JR,RB/LB,#33,BGM,2.5,28.5,1.0
Nolan Birdsall,16.0,JR,RB/LB,#2,West Harrison,5.0,50.0,1.0
Michael Hensley,9.2,JR,RB/LB,#6,Sidney,5.0,42.0,0.0
Matt Sauer,9.2,SR,TE/DE,#82,Midland,4.0,52.0,0.0
Sam DeMeulenaere,7.15,JR,E/LB,#12,Belle Plaine,2.0,51.5,0.0
Judson Beary,13.15,JR,RB/LB,#6,Twin Cedars,2.0,51.5,1.0
Reed Oswalt,20.7,SO,WR/DB,#24,Collins-Maxwell,4.0,107.0,1.0
Caleb Urban,10.6,JR,WR/CB,#3,East Mills,4.0,66.0,0.0
Hudson Clark,18.0,SO,WR/DB,#3,Gladbrook-Reinbeck,4.0,80.0,1.0
Owen Garside,8.75,JR,S/QB,#3,Boyer Valley,2.0,37.5,0.5
Oliver Schmitt,11.7,SR,FB,#22,Turkey Valley,4.0,17.0,1.0
Emmett Burke,8.9,SO,WR/DB,#10,Lone Tree,2.0,39.0,0.5
Cristian Brown,33.2,SR,WR/DB,#47,Dunkerton,4.0,112.0,3.0
Luke Erselius,6.4,SO,WR/DB,#15,Montezuma,2.0,14.0,0.5
Jack Follmann,26.7,SR,TE/LB,#40,CAM,4.0,107.0,2.0
Conlin Rouse,8.8,SO,RB/LB,#11,Springville,2.0,38.0,0.5
James Buhlman,18.3,FR,RB/LB,#27,Easton Valley,4.0,83.0,1.0
Aiden Eickert ,31.4,JR,WR/LB,#7,Easton Valley,4.0,94.0,3.0
Callan Messerich,23.9,SO,WR/DB,#6,Easton Valley,4.0,79.0,2.0
Kolt Payne,30.8,JR,SL/CB,#24,Sidney,4.0,148.0,2.0
Rason Grail,22.7,SR,WR/DB,#23,East Union,3.0,77.0,2.0
Aiden Klostermann,14.1,SR,RB/S,#10,Central City,3.0,51.0,1.0
Carter Sholtus,5.45,SR,WR/CB,#2,HLV,1.5,9.5,0.5
Alex Hansen,10.2,JR,RB/LB,#22,Exira-EHK,3.0,72.0,0.0
Carter Seitz,21.7,JR,WR/DB,#7,Kee,3.0,67.0,2.0
Nolan Gannon,6.2,FR,RB/LB,#34,Murray,1.5,17.0,0.5
Cade Robinson,4.1,JR,WR/CB,#12,Baxter,3.0,11.0,0.0
Samuel Dascher,14.0,SO,TE/CB,#31,Calamus-Wheatland,3.0,50.0,1.0
Lane Oswalt,5.5,SR,WR/DB,#87,Collins-Maxwell,3.0,25.0,0.0
Kolby Culbertson,4.4,SR,TE/DB,#2,Coon Rapids-Bayard,3.0,14.0,0.0
Triton Gwinn,15.5,SR,RB/LB,#22,Mormon Trail,3.0,65.0,1.0
Jiri Brodigan,13.2,SO,WR/LB,#32,East Mills,3.0,42.0,1.0
Levi Reineke,2.85,SO,LB/RB,#29,Boyer Valley,1.5,13.5,0.0
