Name,Points,Year,Position,Number,School,REC,YDS,TDS
Kace Patton,0.0,SR,WR/CB,#10,Murray,0.0,0.0,0.0
Treyton Travis,0.0,SR,WR/CB,#24,Baxter,0.0,0.0,0.0
Wyatt Ragaller,0.0,SO,RB/DB,#8,Ar-We-Va,0.0,0.0,0.0
Nolan Birdsall,0.0,JR,RB/LB,#2,West Harrison,0.0,0.0,0.0
Jackson Embree,0.0,JR,SL/LB,#33,East Mills,0.0,0.0,0.0
Garrett Watts,0.0,SR,WR/DB,#7,Montezuma,0.0,0.0,0.0
Evan Lorenzen,0.0,JR,RB/DB,#22,Northwood-Kensett,0.0,0.0,0.0
Landon Blum,0.0,FR,WR/DB,#5,Woodbine,0.0,0.0,0.0
Carter Seitz,18.7,JR,WR/DB,#7,Kee,3.0,97.0,1.0
Josef Dvorak,1.9,JR,RB/DB,#25,Collins-Maxwell,1.0,9.0,0.0
Callan Messerich,0.0,SO,WR/DB,#6,Easton Valley,0.0,0.0,0.0
Cal Heydon,0.0,SO,QB/DB,#11,Coon Rapids-Bayard,0.0,0.0,0.0
Jabari Woodbury,27.6,SR,,#2,GMG,12.0,156.0,0.0
Cade Robinson,0.0,JR,WR/CB,#12,Baxter,0.0,0.0,0.0
Dalton Weepie,0.0,JR,TE/LB,#33,Dunkerton,0.0,0.0,0.0
Wyatt Throckmorton,0.0,SR,WR/LB,#23,Moravia,0.0,0.0,0.0
Jamison Martin,0.0,JR,RB/DB,#11,West Harrison,0.0,0.0,0.0
Michael Hensley,0.0,JR,RB/LB,#6,Sidney,0.0,0.0,0.0
Braxton Bormann,0.0,SO,RB/LB,#21,Central Elkader,0.0,0.0,0.0
Declan DeJong,0.0,SO,TE/DE,#41,Moravia,0.0,0.0,0.0
Jackson McDanel,0.0,SR,RB/LB,#30,Moravia,0.0,0.0,0.0
Dakota Heishman,0.0,JR,WR/DB,#8,BGM,0.0,0.0,0.0
Aiden Klostermann,2.2,SR,RB/S,#10,Central City,1.0,12.0,0.0
Holden Roberts,0.0,SO,TE/DE,#13,Twin Cedars,0.0,0.0,0.0
Isaac Murphy,0.0,SR,RB/S,#1,GTRA,0.0,0.0,0.0
Caleb Haack,0.0,JR,WR/DB,#7,Iowa Valley,0.0,0.0,0.0
Dominic Coleman,0.0,SR,WR/DE,#23,BGM,0.0,0.0,0.0
Evan Alt,3.3,SR,RB/LB,#4,Audubon,2.0,13.0,0.0
Keyden Lown,0.0,JR,TE/DE,#84,English Valleys,0.0,0.0,0.0
Brenden Connett,0.0,SR,RB/LB,#20,Twin Cedars,0.0,0.0,0.0
Reed Oswalt,7.6,SO,WR/DB,#24,Collins-Maxwell,2.0,56.0,0.0
Triton Gwinn,0.0,SR,RB/LB,#22,Mormon Trail,0.0,0.0,0.0
Jed Bielenberg,0.0,SR,DE/WR,#15,Siouxland Christian,0.0,0.0,0.0
Cruz DeJong,0.0,SR,TE/LB,#40,Montezuma,0.0,0.0,0.0
David Rose,0.0,JR,WR/DB,#5,Montezuma,0.0,0.0,0.0
Broox Stockman,0.0,SO,RB/LB,#20,Montezuma,0.0,0.0,0.0
Louden Huisenga,0.0,JR,RB/LB,#8,WACO,0.0,0.0,0.0
Devon Ehlers,0.0,SO,TE/LB,#88,Ar-We-Va,0.0,0.0,0.0
Mason Maschmann,0.0,SR,RB/LB,#11,BGM,0.0,0.0,0.0
Austin Christensen,2.7,SO,WR/LB,#81,Audubon,2.0,7.0,0.0
Aiden Eickert ,0.0,JR,WR/LB,#7,Easton Valley,0.0,0.0,0.0
Matt Sauer,0.0,SR,TE/DE,#82,Midland,0.0,0.0,0.0
Cainan Travis,0.0,JR,WR/LB,#20,Baxter,0.0,0.0,0.0
JW Linkenhoker,42.3,SO,,#11,Fremont-Mills,7.0,113.0,4.0
Chase Klatt,0.0,SO,TE/CB,#4,Calamus-Wheatland,0.0,0.0,0.0
Owen Garside,0.0,JR,S/QB,#3,Boyer Valley,0.0,0.0,0.0
Evan Ten Eyck,0.0,SR,TE,#2,Boyer Valley,0.0,0.0,0.0
Brogan Ewing,0.0,JR,WR/CB,#10,Southeast Warren,0.0,0.0,0.0
Brayden Hepke,0.0,SR,WR/DB,#17,BGM,0.0,0.0,0.0
Drew Lappe,0.0,SR,WR/CB,#5,Bishop Garrigan,0.0,0.0,0.0
Sam Plathe,0.0,SR,WR/CB,#24,Bishop Garrigan,0.0,0.0,0.0
Devin Meyer,0.0,SR,TE/LB,#15,Harris-Lake Park,0.0,0.0,0.0
Justin Weispfenning,0.0,JR,RB/DB,#3,Easton Valley,0.0,0.0,0.0
Kolt Payne,0.0,JR,SL/CB,#24,Sidney,0.0,0.0,0.0
Seth Bixler,0.0,SR,WR/S,#1,Midland,0.0,0.0,0.0
Tyler Ballard,0.0,SR,TE/DE,#22,HLV,0.0,0.0,0.0
Lucas Madison,26.7,SR,,#5,Fremont-Mills,6.0,87.0,2.0
Jack Gordon,0.0,SR,WR/DL,#18,East Mills,0.0,0.0,0.0
Levi Reineke,0.0,SO,LB/RB,#29,Boyer Valley,0.0,0.0,0.0
Oliver Schmitt,0.0,SR,FB,#22,Turkey Valley,0.0,0.0,0.0
Colby Eskildsen,0.0,JR,TE/DL,#12,Northwood-Kensett,0.0,0.0,0.0
Alex Tiedemann,0.0,SO,QB/DB,#34,Northwood-Kensett,0.0,0.0,0.0
Colton Leichty,0.0,SR,TE/LB,#23,WACO,0.0,0.0,0.0
Collin Hoffman,0.0,SR,QB/S,#14,GTRA,0.0,0.0,0.0
Keaton Harpenau,0.0,JR,SL/DB,#2,Remsen St. Mary's,0.0,0.0,0.0
Braxton Kniep,0.0,JR,WR/DE,#18,Remsen St. Mary's,0.0,0.0,0.0
Cam Buffington,0.0,SR,QB/LB,#33,Winfield-Mt Union,0.0,0.0,0.0
Harley Molina,0.0,SR,WR/LB,#24,Ar-We-Va,0.0,0.0,0.0
Wade Ragaller,0.0,JR,RB/LB,#28,Ar-We-Va,0.0,0.0,0.0
Johnathan Riesselman,0.0,SO,WR/DB,#7,Ar-We-Va,0.0,0.0,0.0
Andrew Beran,3.0,JR,RB,#2,Riceville,2.0,10.0,0.0
Kaden Kobliska,8.7,SR,WR,#8,Riceville,5.0,37.0,0.0
Conlin Rouse,0.0,SO,RB/LB,#11,Springville,0.0,0.0,0.0
Tate Martin,0.0,JR,RB/LB,#33,BGM,0.0,0.0,0.0
Caleb Hemphill,0.0,SR,RB/LB,#3,Harris-Lake Park,0.0,0.0,0.0
Rason Grail,0.0,SR,WR/DB,#23,East Union,0.0,0.0,0.0
Nolan Gannon,0.0,FR,RB/LB,#34,Murray,0.0,0.0,0.0
Gio Cruz,0.0,SR,RB/DB,#5,Lenox,0.0,0.0,0.0
Lane Oswalt,0.0,SR,WR/DB,#87,Collins-Maxwell,0.0,0.0,0.0
Kolby Culbertson,0.0,SR,TE/DB,#2,Coon Rapids-Bayard,0.0,0.0,0.0
Jiri Brodigan,0.0,SO,WR/LB,#32,East Mills,0.0,0.0,0.0
Hudson Clark,0.0,SO,WR/DB,#3,Gladbrook-Reinbeck,0.0,0.0,0.0
J.D. Kruse,24.9,SO,RB/DE,#2,Turkey Valley,3.0,99.0,2.0
Owen Hammersland,0.0,FR,RB/LB,#24,Central Elkader,0.0,0.0,0.0
Nolan Cushion,6.9,SR,TE/DE,#22,West Central,3.0,39.0,0.0
Charlie Schaefer,0.0,SR,QB/S,#6,North Iowa,0.0,0.0,0.0
Jaxson Schnell,0.0,SO,LB/WR,#4,GTRA,0.0,0.0,0.0
Hayden Loftsgard,0.0,JR,WR/CB,#2,Tripoli,0.0,0.0,0.0
Dawson Smith,0.0,SR,RB/LB,#20,Iowa Valley,0.0,0.0,0.0
Jack Follmann,0.0,SR,TE/LB,#40,CAM,0.0,0.0,0.0
Will Felper,0.0,SR,SL,#18,Riceville,0.0,0.0,0.0
Brigham Porter,0.0,SO,SL/DB,#23,New London,0.0,0.0,0.0
Cale Westerbeck,0.0,SO,WR/DB,#4,New London,0.0,0.0,0.0
Edward Miller,6.8,SR,TE/DE,#31,Audubon,2.0,48.0,0.0
James Buhlman,0.0,FR,RB/LB,#27,Easton Valley,0.0,0.0,0.0
Rider Kupka,14.3,SO,,#21,GMG,5.0,33.0,1.0
Wyatt Christiansen,0.0,SO,RB/LB,#10,Midland,0.0,0.0,0.0
Kael Cress,0.0,JR,WR/S,#7,Midland,0.0,0.0,0.0
Carter Sholtus,0.0,SR,WR/CB,#2,HLV,0.0,0.0,0.0
Sam DeMeulenaere,0.0,JR,E/LB,#12,Belle Plaine,0.0,0.0,0.0
Jordan Martin-England,0.0,JR,RB/LB,#18,Lenox,0.0,0.0,0.0
Dylan Linkenhoker,10.1,SR,,#21,Fremont-Mills,4.0,61.0,0.0
Judson Beary,0.0,JR,RB/LB,#6,Twin Cedars,0.0,0.0,0.0
Cody Dorscher,0.0,JR,WR/CB,#24,Griswold,0.0,0.0,0.0
Gavin Ford,0.0,JR,QB/LB,#12,Stanton,0.0,0.0,0.0
Logan French,0.0,SR,WR/DB,#1,Stanton,0.0,0.0,0.0
Jacob Martin,0.0,JR,RB/LB,#3,Stanton,0.0,0.0,0.0
Samuel Dascher,0.0,SO,TE/CB,#31,Calamus-Wheatland,0.0,0.0,0.0
Caleb Urban,0.0,JR,WR/CB,#3,East Mills,0.0,0.0,0.0
Drew Eilers,9.1,JR,WR/DL,#2,Gladbrook-Reinbeck,1.0,21.0,1.0
Emmett Burke,0.0,SO,WR/DB,#10,Lone Tree,0.0,0.0,0.0
Cristian Brown,0.0,SR,WR/DB,#47,Dunkerton,0.0,0.0,0.0
Ty Lindquist,0.0,JR,FB/LB,#18,Dunkerton,0.0,0.0,0.0
Jeremiah Lynam,0.0,SR,DB/WR,#9,Siouxland Christian,0.0,0.0,0.0
Bram Bielenberg,0.0,FR,RB/LB,#35,Siouxland Christian,0.0,0.0,0.0
Anthony Eisele,0.0,SR,OL/DL,#55,North Iowa,0.0,0.0,0.0
Luke Erselius,0.0,SO,WR/DB,#15,Montezuma,0.0,0.0,0.0
Christian Reinke,0.0,JR,TE/LB,#25,Rockford,0.0,0.0,0.0
Carter Anderson,0.0,JR,QB/DB,#15,Northwood-Kensett,0.0,0.0,0.0
Jacob Morey,0.0,SR,OL/DL,#11,Tripoli,0.0,0.0,0.0
Cal Peterman,1.0,JR,WR/LB,#15,Bedford,1.0,0.0,0.0
Abram Edwards,0.0,SR,TE/DE,#84,Winfield-Mt Union,0.0,0.0,0.0
Carter Loyd,0.0,SR,RB/S,#2,Winfield-Mt Union,0.0,0.0,0.0
Cole Milks,0.0,SR,RB/S,#11,Winfield-Mt Union,0.0,0.0,0.0
Ty Christensen,6.3,SO,,#5,Don Bosco,4.0,23.0,0.0
Leo Ehn,0.0,SR,TE/LB,#80,St. Edmond,0.0,0.0,0.0
Trevor Forey,0.0,SR,WR/S,#6,Janesville,0.0,0.0,0.0
Justin Bauer,0.0,SR,WR/CB,#12,Bishop Garrigan,0.0,0.0,0.0
Austin Lack,0.0,SR,WR/DB,#3,East Union,0.0,0.0,0.0
Mitch Stevens,0.0,SR,TE/LB,#37,West Bend-Mallard,0.0,0.0,0.0
Alex Hansen,0.0,JR,RB/LB,#22,Exira-EHK,0.0,0.0,0.0
Cannon Hansen,0.0,JR,TE/DL,#33,Exira-EHK,0.0,0.0,0.0
Quintin White,0.0,SR,WR/DB,#3,Exira-EHK,0.0,0.0,0.0
Eric Wilson,0.0,SR,WR/DB,#15,Exira-EHK,0.0,0.0,0.0
Jackson Schulte,0.0,SR,RB/LB,#21,Kee,0.0,0.0,0.0
Ayden Lamb,0.0,FR,TE/LB,#18,Murray,0.0,0.0,0.0
Braxton Blackburn,4.5,SR,,#10,Fremont-Mills,3.0,15.0,0.0
Johnny Resh,0.0,SR,TE/DL,#20,Stanton,0.0,0.0,0.0
Simon Showalter,0.0,JR,RB/LB,#6,Stanton,0.0,0.0,0.0
Levi Evans,0.0,SO,TE/DE,#20,Mormon Trail,0.0,0.0,0.0
Treyvon Herron,0.0,FR,WR/DB,#9,Gladbrook-Reinbeck,0.0,0.0,0.0
Luke Cripps,1.4,SR,QB/S,#1,Boyer Valley,1.0,4.0,0.0
Burke Busta,11.1,SR,FB,#9,Turkey Valley,2.0,31.0,1.0
John Stauffer,0.0,JR,TE/LB,#82,Clarksville,0.0,0.0,0.0
Colin Snyder,0.0,SO,RB/LB,#24,Dunkerton,0.0,0.0,0.0
Alex Daniel,0.0,SO,RB/LB,#27,Glidden-Ralston,0.0,0.0,0.0
Braydon Draeger,0.0,SR,TE/LB,#88,Melcher-Dallas,0.0,0.0,0.0
Carter Michalek,0.0,JR,WR/DB,#2,Montezuma,0.0,0.0,0.0
Kolton Robinson,0.0,SO,RB/DB,#23,Northwood-Kensett,0.0,0.0,0.0
Guyson Lyman,0.0,JR,TE/DE,#40,Newell-Fonda,0.0,0.0,0.0
Collin Homan,0.0,JR,OL/DL,#55,Remsen St. Mary's,0.0,0.0,0.0
Ethan Schaufenbuel,0.0,SO,WR/CB,#20,Tripoli,0.0,0.0,0.0
Tristan Freiberg,0.0,SR,WR/CB,#1,Tripoli,0.0,0.0,0.0
Ian Smith,0.0,JR,TE/LB,#5,Iowa Valley,0.0,0.0,0.0
Micah Moores,0.0,FR,RB/LB,#9,Woodbine,0.0,0.0,0.0
