Name,Points,Year,Position,Number,School,REC,YDS,TDS
Kace Patton,53.3,SR,WR/CB,#10,Murray,18,233,2
Treyton Travis,61.6,SR,WR/CB,#24,Baxter,13,246,4
Evan Lorenzen,18.9,JR,RB/DB,#22,Northwood-Kensett,11,79,0
Wyatt Ragaller,28.7,SO,RB/DB,#8,Ar-We-Va,11,117,1
Landon Blum,31.3,FR,WR/DB,#5,Woodbine,10,153,1
Holden Roberts,20.0,SO,TE/DE,#13,Twin Cedars,9,110,0
Jackson McDanel,35.9,SR,RB/LB,#30,Moravia,9,149,2
Brenden Connett,24.6,SR,RB/LB,#20,Twin Cedars,8,106,1
Jackson Embree,23.9,JR,SL/LB,#33,East Mills,8,99,1
Wyatt Throckmorton,31.2,SR,WR/LB,#23,Moravia,8,112,2
Dakota Heishman,14.4,JR,WR/DB,#8,BGM,8,64,0
Evan Ten Eyck,42.2,SR,TE,#2,Boyer Valley,7,112,4
Declan DeJong,34.0,SO,TE/DE,#41,Moravia,7,90,3
Dominic Coleman,39.6,SR,WR/DE,#23,BGM,7,146,3
Tyler Ballard,17.2,SR,TE/DE,#22,HLV,6,112,0
Cal Heydon,38.4,SO,QB/DB,#11,Coon Rapids-Bayard,6,144,3
Devon Ehlers,8.0,SO,TE/LB,#88,Ar-We-Va,6,20,0
Mason Maschmann,26.1,SR,RB/LB,#11,BGM,6,141,1
Caleb Hemphill,17.9,SR,RB/LB,#3,Harris-Lake Park,6,59,1
Devin Meyer,10.1,SR,TE/LB,#15,Harris-Lake Park,6,41,0
Keyden Lown,29.3,JR,TE/DE,#84,English Valleys,5,63,3
Gio Cruz,15.8,SR,RB/DB,#5,Lenox,5,48,1
Josef Dvorak,26.9,JR,RB/DB,#25,Collins-Maxwell,5,99,2
Jack Gordon,16.4,SR,WR/DL,#18,East Mills,5,54,1
Owen Hammersland,14.1,FR,RB/LB,#24,Central Elkader,5,31,1
Dalton Weepie,20.0,JR,TE/LB,#33,Dunkerton,5,90,1
Jed Bielenberg,15.7,SR,DE/WR,#15,Siouxland Christian,5,107,0
Cruz DeJong,16.9,SR,TE/LB,#40,Montezuma,5,59,1
David Rose,9.0,JR,WR/DB,#5,Montezuma,5,40,0
Garrett Watts,34.5,SR,WR/DB,#7,Montezuma,5,115,3
Louden Huisenga,15.5,JR,RB/LB,#8,WACO,5,45,1
Colton Leichty,16.1,SR,TE/LB,#23,WACO,5,51,1
Brogan Ewing,8.0,JR,WR/CB,#10,Southeast Warren,5,30,0
Caleb Haack,25.1,JR,WR/DB,#7,Iowa Valley,5,141,1
Wade Ragaller,15.6,JR,RB/LB,#28,Ar-We-Va,5,46,1
Tate Martin,22.7,JR,RB/LB,#33,BGM,5,57,2
Nolan Birdsall,16.0,JR,RB/LB,#2,West Harrison,5,50,1
Michael Hensley,9.2,JR,RB/LB,#6,Sidney,5,42,0
Matt Sauer,9.2,SR,TE/DE,#82,Midland,4,52,0
Sam DeMeulenaere,14.3,JR,E/LB,#12,Belle Plaine,4,103,0
Judson Beary,26.3,JR,RB/LB,#6,Twin Cedars,4,103,2
Reed Oswalt,20.7,SO,WR/DB,#24,Collins-Maxwell,4,107,1
Caleb Urban,10.6,JR,WR/CB,#3,East Mills,4,66,0
Hudson Clark,18.0,SO,WR/DB,#3,Gladbrook-Reinbeck,4,80,1
Owen Garside,17.5,JR,S/QB,#3,Boyer Valley,4,75,1
Oliver Schmitt,11.7,SR,FB,#22,Turkey Valley,4,17,1
Emmett Burke,17.8,SO,WR/DB,#10,Lone Tree,4,78,1
Cristian Brown,33.2,SR,WR/DB,#47,Dunkerton,4,112,3
