Name,Points,Year,Position,Number,School,REC,YDS,TDS
Treyton Travis,61.4,SR,WR/CB,#24,Baxter,12.0,194.0,5.0
Nolan Birdsall,0.0,JR,RB/LB,#2,West Harrison/Whiting,0.0,0.0,0.0
Kace Patton,4.0,SR,WR/CB,#10,Murray,3.0,10.0,0.0
Landon Blum,32.1,FR,WR/DB,#5,Woodbine,8.0,121.0,2.0
Grant Galles,45.0,SO,WR/DB,#6,St. Edmond,10.0,170.0,3.0
Jabari Woodbury,0.0,SR,,#2,GMG,0.0,0.0,0.0
Devin Meyer,31.9,SR,TE/LB,#15,Harris-Lake Park,4.0,99.0,3.0
Wyatt Ragaller,14.5,SO,RB/DB,#8,Ar-We-Va,3.0,55.0,1.0
Cade Robinson,12.6,JR,WR/CB,#12,Baxter,4.0,26.0,1.0
Isaac Murphy,11.1,SR,RB/S,#1,GTRA,7.0,41.0,0.0
Jamison Martin,0.0,JR,RB/DB,#11,West Harrison/Whiting,0.0,0.0,0.0
Josef Dvorak,8.5,JR,RB/DB,#25,Collins-Maxwell,4.0,45.0,0.0
Garrett Watts,31.7,SR,WR/DB,#7,Montezuma,6.0,137.0,2.0
Dominic Coleman,14.5,SR,WR/DE,#23,BGM,2.0,65.0,1.0
Callan Messerich,0.0,SO,WR/DB,#6,Easton Valley,0.0,0.0,0.0
Cainan Travis,7.1,JR,WR/LB,#20,Baxter,4.0,31.0,0.0
Evan Lorenzen,6.6,JR,RB/DB,#22,Northwood-Kensett,3.0,36.0,0.0
Dakota Heishman,15.1,JR,WR/DB,#8,BGM,4.0,51.0,1.0
Mason Maschmann,13.6,SR,RB/LB,#11,BGM,3.0,46.0,1.0
Michael Hensley,10.2,JR,RB/LB,#6,Sidney,2.0,22.0,1.0
Carter Seitz,10.0,JR,WR/DB,#7,Kee,2.0,20.0,1.0
Cal Heydon,4.7,SO,QB/DB,#11,Coon Rapids-Bayard,3.0,17.0,0.0
Jackson Embree,0.0,JR,SL/LB,#33,East Mills,0.0,0.0,0.0
Jed Bielenberg,23.7,SR,DE/WR,#15,Siouxland Christian,6.0,57.0,2.0
Caleb Hemphill,16.9,SR,RB/LB,#3,Harris-Lake Park,6.0,49.0,1.0
Dalton Weepie,37.6,JR,TE/LB,#33,Dunkerton,4.0,156.0,3.0
Wade Ragaller,24.0,JR,RB/LB,#28,Ar-We-Va,4.0,80.0,2.0
Wyatt Throckmorton,21.9,SR,WR/LB,#23,Moravia,3.0,69.0,2.0
Brogan Ewing,10.9,JR,WR/CB,#10,Southeast Warren,3.0,19.0,1.0
Micah Moores,24.5,FR,RB/LB,#9,Woodbine,9.0,95.0,1.0
Aiden Eickert ,0.0,SO,WR/LB,#7,Easton Valley,0.0,0.0,0.0
Triton Gwinn,0.0,SR,RB/LB,#22,Mormon Trail,0.0,0.0,0.0
Jaxson Schnell,7.0,SO,LB/WR,#4,GTRA,3.0,40.0,0.0
Collin Bower,8.6,SO,TE/DB,#25,CAM,5.0,36.0,0.0
Rason Grail,8.3,SR,WR/DB,#23,East Union,4.0,43.0,0.0
Lucas Frohwein,21.7,SR,TE/DE,#9,Colo-Nesco,3.0,67.0,2.0
Brayden Hepke,0.0,SR,WR/DB,#17,BGM,0.0,0.0,0.0
Owen Hammersland,9.4,FR,RB/LB,#24,Central Elkader,5.0,44.0,0.0
Jackson McDanel,13.3,SR,RB/LB,#30,Moravia,1.0,63.0,1.0
Tate Martin,17.7,JR,RB/LB,#33,BGM,3.0,27.0,2.0
Caleb Haack,15.2,JR,WR/DB,#7,Iowa Valley,3.0,62.0,1.0
Rider Kupka,0.0,SO,,#21,GMG,0.0,0.0,0.0
Cruz DeJong,0.0,SR,TE/LB,#40,Montezuma,0.0,0.0,0.0
Drew Lappe,4.4,SR,WR/CB,#5,Bishop Garrigan,3.0,14.0,0.0
Kolby Culbertson,8.6,SR,TE/DB,#2,Coon Rapids-Bayard,4.0,46.0,0.0
Jack Gordon,0.0,SR,WR/DL,#18,East Mills,0.0,0.0,0.0
Marshawn Taylor,0.8,SR,RB/CB,#12,Rockford,1.0,-2.0,0.0
Declan DeJong,4.1,SO,TE/DE,#41,Moravia,1.0,31.0,0.0
Keaton Harpenau,21.9,JR,SL/DB,#2,Remsen St. Mary's,4.0,59.0,2.0
Trevor Forey,7.8,SR,WR/S,#6,Janesville,1.0,8.0,1.0
Kaleb Gill,0.0,SR,,#1,GMG,0.0,0.0,0.0
Jeremiah Marquette,26.8,SR,RB/LB,#25,Waterloo Christian,9.0,118.0,1.0
Jackson Schulte,0.0,SR,RB/LB,#21,Kee,0.0,0.0,0.0
